Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Sh;SoT;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;Dist;FK;PK;PKatt;xG;npxG;npxG/Sh;G-xG;np:G-xG;Cmp;Att;Cmp%;TotDist;PrgDist;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Ast;xAG;xA;A-xAG;KP;1//3;PPA;CrsPA;PrgP;SCA;SCA90;PassLive;PassDead;TO;Sh;Fld;Def;GCA;GCA90;PassLive;PassDead;TO;Sh;Fld;Def;Tkl;TklW;Def 3rd;Mid 3rd;Att 3rd;Tkl;Att;Tkl%;Lost;Blocks;Sh;Pass;Int;Tkl+Int;Clr;Err;Touches;Def Pen;Def 3rd;Mid 3rd;Att 3rd;Att Pen;Live;Att;Succ;Succ%;Tkld;Tkld%;Carries;TotDist;PrgDist;PrgC;1//3;CPA;Mis;Dis;Rec;PrgR;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;Int;TklW;PKwon;PKcon;OG;Recov;Won;Lost;Won%
3;Noah Adedeji;BEL;FW;Genk;Belgium Pro;20;2005;14;6;539;6.0;0;0;0;0;0;0;0;0;0.6;0.6;1.1;1.7;21;22;71;0.00;0.00;0.00;0.00;0.00;0.10;0.19;0.29;0.10;0.29;10;2;20.0;1.67;0.33;0.00;0.00;17.1;0;0;0;0.6;0.6;0.06;-0.6;-0.6;219;289;75.8;2884;741;137;157;87.3;62;79;78.5;6;26;23.1;0;1.1;1.4;-1.1;9;20;12;5;22;30;5.00;16;2;4;2;6;0;0;0.00;0;0;0;0;0;0;11;6;2;9;0;0;4;0.0;4;7;0;7;5;16;1;0;382;1;32;126;230;30;382;38;13;34.2;20;52.6;247;1514;763;21;14;8;20;12;286;71;0;0;0;6;21;0;30;5;6;0;0;0;20;4;8;33.3
4;Farouck Adekami;CIV;FW,DF;Antwerp;Belgium Pro;19;2006;10;7;565;6.3;2;2;4;2;0;0;4;0;0.9;0.9;1.2;2.2;35;17;65;0.32;0.32;0.64;0.32;0.64;0.15;0.20;0.34;0.15;0.34;18;11;61.1;2.87;1.75;0.11;0.18;23.4;1;0;0;0.9;0.9;0.05;+1.1;+1.1;135;210;64.3;2566;899;52;68;76.5;61;87;70.1;20;40;50.0;2;1.2;0.9;+0.8;9;10;11;5;17;28;4.47;10;5;6;2;4;1;3;0.48;1;1;1;0;0;0;7;6;2;2;3;3;8;37.5;5;4;0;4;2;9;2;0;302;1;30;118;161;23;302;47;22;46.8;23;48.9;206;1559;834;35;18;15;26;5;207;65;4;0;0;13;24;1;36;2;6;0;0;0;27;5;7;41.7
5;Oluwaseun Adewumi;AUT;MF,FW;Cercle Brugge;Belgium Pro;20;2005;12;4;406;4.5;1;0;1;1;0;0;2;0;2.4;2.4;0.2;2.5;18;12;36;0.22;0.00;0.22;0.22;0.22;0.52;0.04;0.56;0.52;0.56;16;6;37.5;3.55;1.33;0.06;0.17;12.9;0;0;0;2.4;2.4;0.15;-1.4;-1.4;66;93;71.0;907;242;44;56;78.6;19;26;73.1;2;4;50.0;0;0.2;0.3;-0.2;3;5;2;0;12;9;2.00;5;0;1;1;2;0;0;0.00;0;0;0;0;0;0;3;1;1;1;1;2;2;100.0;0;5;0;5;1;4;1;0;167;0;11;54;104;28;167;23;9;39.1;14;60.9;96;689;339;18;8;9;17;10;113;36;2;0;0;4;9;3;6;1;1;0;0;0;20;5;13;27.8
6;Ryan Adewusi;BEL;FW;Dender;Belgium Pro;20;2005;1;0;24;0.3;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;6;8;75.0;68;36;5;6;83.3;1;2;50.0;0;0;;0;0.0;0.0;0.0;0;1;0;0;1;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;8;0;0;2;6;0;8;0;0;;0;;8;17;4;0;0;0;0;1;8;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;2;33.3
7;Mohammed El Âdfaoui;BEL;MF,DF;Gent;Belgium Pro;17;2008;4;0;68;0.8;0;1;1;0;0;0;0;0;0.1;0.1;0.5;0.6;2;7;3;0.00;1.32;1.32;0.00;1.32;0.12;0.64;0.76;0.12;0.76;2;0;0.0;2.65;0.00;0.00;;18.9;0;0;0;0.1;0.1;0.05;-0.1;-0.1;41;57;71.9;684;196;19;22;86.4;18;22;81.8;3;12;25.0;1;0.5;0.9;+0.5;3;6;2;0;7;4;5.29;2;1;0;1;0;0;1;1.32;0;1;0;0;0;0;2;0;0;2;0;0;0;;0;0;0;0;0;2;0;0;67;0;5;34;28;4;67;1;1;100.0;0;0.0;35;192;91;2;2;1;1;1;35;3;0;0;0;1;1;0;7;0;0;0;0;0;4;2;2;50.0
8;Jerry Afriyie;GHA;FW;La Louvière;Belgium Pro;18;2006;11;10;890;9.9;2;0;2;2;0;0;2;0;3.0;3.0;0.4;3.4;12;11;35;0.20;0.00;0.20;0.20;0.20;0.30;0.04;0.34;0.30;0.34;20;8;40.0;2.02;0.81;0.10;0.25;13.8;0;0;0;3.0;3.0;0.15;-1.0;-1.0;70;109;64.2;1233;258;33;46;71.7;30;44;68.2;7;11;63.6;0;0.4;0.3;-0.4;5;4;5;1;11;10;1.01;7;1;1;1;0;0;1;0.10;0;0;0;1;0;0;6;2;0;4;2;2;7;28.6;5;5;0;5;2;8;4;0;204;3;15;89;107;32;204;22;10;45.5;12;54.5;104;730;246;12;11;4;30;12;117;35;2;0;0;11;2;8;4;2;2;0;0;0;37;10;28;26.3
12;Josimar Alcocer;CRC;FW;Westerlo;Belgium Pro;21;2004;14;14;1,017;11.3;3;3;6;3;0;0;2;0;2.2;2.2;1.4;3.5;33;30;73;0.27;0.27;0.53;0.27;0.53;0.19;0.12;0.31;0.19;0.31;25;9;36.0;2.21;0.80;0.12;0.33;17.8;0;0;0;2.2;2.2;0.09;+0.8;+0.8;253;312;81.1;3658;1059;155;175;88.6;73;89;82.0;14;26;53.8;3;1.4;1.2;+1.6;12;18;10;2;30;39;3.45;26;0;8;2;2;1;3;0.27;1;0;1;0;0;1;20;12;7;10;3;5;17;29.4;12;11;0;11;6;26;10;2;471;13;68;173;237;49;471;60;21;35.0;39;65.0;273;1725;889;33;20;11;23;16;305;73;2;0;0;16;18;3;16;6;12;0;0;0;44;4;13;23.5
17;Raymond Asante;GHA;DF,MF;Charleroi;Belgium Pro;21;2004;2;0;19;0.2;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;1;0;2;0.00;0.00;0.00;0.00;0.00;0.25;0.00;0.25;0.25;0.25;2;1;50.0;9.47;4.74;0.00;0.00;23.5;0;0;0;0.1;0.1;0.03;-0.1;-0.1;5;9;55.6;51;9;5;5;100.0;0;3;0.0;0;1;0.0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;2;1;1;1;0;1;1;100.0;0;0;0;0;0;2;2;0;16;1;3;4;9;1;16;0;0;;0;;7;51;37;1;1;0;0;2;7;2;0;0;0;0;2;0;2;0;1;0;0;0;1;1;1;50.0
18;Steeven Assengue;BEL;DF;Standard Liège;Belgium Pro;20;2005;1;0;16;0.2;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;8;9;88.9;121;62;5;5;100.0;3;3;100.0;0;0;;0;0.0;0.0;0.0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;10;0;3;6;1;0;10;0;0;;0;;3;21;6;0;0;0;1;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;
21;Isaac Babadi;NED;MF;Antwerp;Belgium Pro;20;2005;9;3;343;3.8;0;0;0;0;0;0;1;0;0.3;0.3;0.5;0.7;4;29;11;0.00;0.00;0.00;0.00;0.00;0.07;0.12;0.19;0.07;0.19;6;2;33.3;1.57;0.52;0.00;0.00;22.9;0;0;0;0.3;0.3;0.04;-0.3;-0.3;162;197;82.2;2712;720;82;87;94.3;63;72;87.5;13;26;50.0;0;0.5;0.6;-0.5;8;18;6;1;29;18;4.71;15;3;0;0;0;0;0;0.00;0;0;0;0;0;0;4;3;1;3;0;1;6;16.7;5;4;0;4;2;6;2;0;225;4;32;120;79;6;225;5;4;80.0;1;20.0;135;616;281;4;5;0;5;5;145;11;1;0;0;4;1;0;11;2;3;0;0;0;25;0;4;0.0
